id,escolas_postos,bairro,endereço,lat,lon,quantidade,tipo
178,CENTRO INTEGRADO DE EDUCACAO PUBLICA HENFIL,CAJU,RUA CARLOS SEIDL S/No,"-22,880888","-43,225326",20.0,
634,EM ALICE DO AMARAL PEIXOTO,BENFICA,RUA EBANO 187,"-22,889574","-43,236202",121.0,EM
483,EM CELESTINO SILVA,CENTRO,"R. DO LAVRADIO, 56","-22,909293","-43,183579",220.0,EM
476,ESCOLA MUNICIPAL FLORIANO PEIXOTO,SAO CRISTOVAO,PRACA ARGENTINA 20,"-22,897629","-43,227456",190.0,ESCOLA
132,EM PEREIRA PASSOS,RIO COMPRIDO,PRACA CONDESSA PAULO DE FRONTIN 45,"-22,924412","-43,208579",67.0,EM
017,E.M PRESIDENTE JOSE LINHARES,IPANEMA,"R. BARAO DA TORRE, 90","-22,983332","-43,199036",48.0,EM
055,EM SANTA CATARINA,SANTA TERESA,RUA EDUARDO SANTOS 38,"-22,915535","-43,191588",92.0,EM
490,E.M TIA CIATA,CENTRO,AVENIDA PRESIDENTE VARGAS S/No,"-22,907123","-43,195068",578.0,EM
600,EM URUGUAI,BENFICA,RUA ANA NERI 192,"-22,898488","-43,237756",591.0,EM
089,EM MARIO CLAUDIO,RIO COMPRIDO,"R. HADDOCK LOBO, 148","-22,917233","-43,211044",473.0,EM
387,CIEP PRESIDENTE AGOSTINHO NETO,HUMAITA,RUA VISCONDE DE SILVA S/No,"-22,959167","-43,199723",456.0,CIEP
331,CIEP TANCREDO NEVES,CATETE,RUA DO CATETE 77,"-22,922785","-43,176685",223.0,CIEP
450,EM ALBERTO BARTH,FLAMENGO,AVENIDA OSWALDO CRUZ 124,"-22,940711","-43,17647",420.0,EM
558,EM CICERO PENA,COPACABANA,"AV. ATLANTICA, 1976","-22,968647","-43,181139",573.0,EM
413,EM COCIO BARCELOS,COPACABANA,"R. BARAO DE IPANEMA, 34","-22,974828","-43,189063",,EM
413,EM COCIO BARCELOS,COPACABANA,"R. BARAO DE IPANEMA, 34","-22,74828","-43,189063",,EM
540,EM HENRIQUE DODSWORTH,IPANEMA,AVENIDA EPITACIO PESSOA 474,"-22,981955","-43,213579",516.0,EM
309,EM MEXICO,BOTAFOGO,RUA DA MATRIZ 67,"-22,952706","-43,191761",319.0,EM
268,ESCOLA MUNICIPAL MINAS GERAIS,URCA,AVENIDA PASTEUR 433,"-22,953822","-43,168885",308.0,ESCOLA
523,EM PRESIDENTE DA COSTA E SILVA,BOTAFOGO,"RUA ASSUNCAO, 257","-22,945558","-43,186591",111.0,EM
017,E.M PRESIDENTE JOSE LINHARES,IPANEMA,"R. BARAO DA TORRE, 90","-22,983332","-43,199036",48.0,EM
035,EM SENADOR CORREA,LARANJEIRAS,R. SEN. CORREA,"-22,933989","-43,181011",525.0,EM
011,CIEP SAMUEL WEINER,TIJUCA,"AV HEITOR BELTRAO, S/No","-22,921274","-43,227998",445.0,CIEP
226,EM AFRANIO PEIXOTO,ANDARAI,"R. FERREIRA PONTES, 328","-22,926855","-43,254913",164.0,EM
638,E.M AZEVEDO SODRE,PRACA DA BANDEIRA,RUA BARAO DE UBA 331,"-22,915447","-43,211091",293.0,EM
089,EM MARIO CLAUDIO,RIO COMPRIDO,"R. HADDOCK LOBO, 148","-22,917233","-43,211044",473.0,EM
126,EM DUQUE DE CAXIAS,GRAJAU,"R. MAL. JOFRE, 74","-22,918541","-43,26509",399.0,EM
180,ESCOLA MUNICIPAL EQUADOR,VILA ISABEL,"BOULEVARD 28 DE SETEMBRO, 353","-22,916152","-43,247048",185.0,ESCOLA
163,EM LAUDIMIA TROTTA,TIJUCA,"R. ANTONIO BASILIO, 370","-22,926842","-43,237889",576.0,EM
361,EM PRUDENTE DE MORAES,TIJUCA,RUA ENES DE SOUSA 36,"-22,92906","-43,232871",63.0,EM
280,ESCOLA MUNICIPAL GENERAL HUMBERTO DE SOUZA MELLO,MARACANA/ VILA ISABEL,"R. OITO DE DEZEMBRO, 275","-22,909823","-43,239393",491.0,ESCOLA
060,ESCOLA MUNICIPAL BARAO HOMEM DE MELO,MARACANA/ TIJUCA,"R. ALM. JOAO CANDIDO BRASIL, 352","-22,916829","-43,236925",,EM
587,EM ALMIRANTE TAMANDARE,VIDIGAL,AVENIDA PRESIDENTE JOAO GOULART 296,"-22,993697","-43,235579",336.0,EM
653,EM LUCIA MIGUEL PEREIRA,SAO CONRADO,RUA MARTAGAO GESTEIRA S/Ndeg,"-22,997417","-43,272181",159.0,EM
660,E.M NOSSA SENHORA DA POMPEIA,TODOS OS SANTOS,"R. CIRNE MAIA, 109","-22,892031","-43,279925",342.0,EM
382,EM SANTOS ANJOS,LEBLON,RUA HUMBERTO DE CAMPOS S/Ndeg,"-22,981559","-43,217029",262.0,EM
217,EM ALAGOAS,PILARES,AV. DOM HELDER CAMARA 6742,"-22,881338","-43,294091",440.0,EM
378,EM BRIGADEIRO FARIA LIMA,AGUA SANTA,RUA VIOLETA S/No,"-22,906272","-43,307919",365.0,EM
429,EM FELIX PACHECO,PIEDADE,"R. ASSIS CARNEIRO, 649","-22,895086","-43,313826",,EM
025,ESCOLA MUNICIPAL GEORGE SUMMER,RIACHUELO,R. ANA NERI,"-22,900704","-43,255408",183.0,ESCOLA
660,E.M NOSSA SENHORA DA POMPEIA,TODOS OS SANTOS,"R. CIRNE MAIA, 109","-22,892031","-43,279925",342.0,EM
373,EM PROFESSOR AUGUSTO PAULINO,MEIER,RUA CONEGO TOBIAS 116,"-22,904163","-43,28033",44.0,EM
624,EM RIO GRANDE DO SUL,ENGENHO DE DENTRO,"RUA ADOLFO BERGAMINI, 201","-22,900341","-43,29594",109.0,EM
157,E.M. SARMIENTO,ENGENHO NOVO,RUA VINTE QUATRO DE MAIO 931,"-22,903031","-43,267883",350.0,EM
020,EM TAGORE,PIEDADE,PCA. FREDERICO DUVAL S/No,"-22,887661","-43,302467",255.0,EM
117,CIEP CHANCELER WILLY BRANDT,JACARE,RUA ALVARO SEIXAS S/No,"-22,894178","-43,263847",457.0,CIEP
502,CIEP PATRICE LUMUMBA,DEL CASTILHO,"PRACA DA CONFEDERACAO SUICA, S/No","-22,878355","-43,274889",493.0,CIEP
351,CENTRO INTEGRADO DE EDUCACAO PUBLICA VINICIUS DE MORAES,JACARE,AV. DOM HELDER CAMARA 1715,"-22,885318","-43,254104",489.0,
135,EM DOMINGOS BEBIANO,INHAUMA,ESTR. ADHEMAR BEBIANO 1870,"-22,873892","-43,277712",456.0,EM
388,EM CARDEAL CAMARA,PARADA DE LUCAS,"R. ANAMA, 98","-22,81527","-43,303566",504.0,EM
440,EM JOAQUIM RIBEIRO,INHAUMA,PCA. SOLDADO COSME DOS SANTOS 28,"-22,87757","-43,285628",530.0,EM
259,EM PERNAMBUCO,MARIA DA GRACA,RUA CONDE DE AZAMBUJA 579,"-22,884179","-43,262622",158.0,EM
