id,escolas_postos,bairro,endereço,lat,lon,quantidade,tipo
178,CENTRO INTEGRADO DE EDUCACAO PUBLICA HENFIL,CAJU,RUA CARLOS SEIDL S/No,"-22,88088","-43,22532",20.0,
634,EM ALICE DO AMARAL PEIXOTO,BENFICA,RUA EBANO 187,"-22,88957","-43,23620",121.0,EM
483,EM CELESTINO SILVA,CENTRO,"R. DO LAVRADIO, 56","-22,90929","-43,18357",220.0,EM
476,ESCOLA MUNICIPAL FLORIANO PEIXOTO,SAO CRISTOVAO,PRACA ARGENTINA 20,"-22,89762","-43,22745",190.0,ESCOLA
132,EM PEREIRA PASSOS,RIO COMPRIDO,PRACA CONDESSA PAULO DE FRONTIN 45,"-22,92441","-43,20857",67.0,EM
017,E.M PRESIDENTE JOSE LINHARES,IPANEMA,"R. BARAO DA TORRE, 90","-22,98333","-43,19903",48.0,EM
055,EM SANTA CATARINA,SANTA TERESA,RUA EDUARDO SANTOS 38,"-22,91553","-43,19158",92.0,EM
490,E.M TIA CIATA,CENTRO,AVENIDA PRESIDENTE VARGAS S/No,"-22,90712","-43,19506",578.0,EM
600,EM URUGUAI,BENFICA,RUA ANA NERI 192,"-22,89848","-43,23775",591.0,EM
089,EM MARIO CLAUDIO,RIO COMPRIDO,"R. HADDOCK LOBO, 148","-22,91723","-43,21104",473.0,EM
387,CIEP PRESIDENTE AGOSTINHO NETO,HUMAITA,RUA VISCONDE DE SILVA S/No,"-22,95916","-43,19972",456.0,CIEP
331,CIEP TANCREDO NEVES,CATETE,RUA DO CATETE 77,"-22,92278","-43,17668",223.0,CIEP
450,EM ALBERTO BARTH,FLAMENGO,AVENIDA OSWALDO CRUZ 124,"-22,94071","-43,17647",420.0,EM
558,EM CICERO PENA,COPACABANA,"AV. ATLANTICA, 1976","-22,96864","-43,18113",573.0,EM
413,EM COCIO BARCELOS,COPACABANA,"R. BARAO DE IPANEMA, 34","-22,97482","-43,18906",,EM
413,EM COCIO BARCELOS,COPACABANA,"R. BARAO DE IPANEMA, 34","-22,74828","-43,18906",,EM
540,EM HENRIQUE DODSWORTH,IPANEMA,AVENIDA EPITACIO PESSOA 474,"-22,98195","-43,21357",516.0,EM
309,EM MEXICO,BOTAFOGO,RUA DA MATRIZ 67,"-22,95270","-43,19176",319.0,EM
268,ESCOLA MUNICIPAL MINAS GERAIS,URCA,AVENIDA PASTEUR 433,"-22,95382","-43,16888",308.0,ESCOLA
523,EM PRESIDENTE DA COSTA E SILVA,BOTAFOGO,"RUA ASSUNCAO, 257","-22,94555","-43,18659",111.0,EM
017,E.M PRESIDENTE JOSE LINHARES,IPANEMA,"R. BARAO DA TORRE, 90","-22,98333","-43,19903",48.0,EM
035,EM SENADOR CORREA,LARANJEIRAS,R. SEN. CORREA,"-22,93398","-43,18101",525.0,EM
011,CIEP SAMUEL WEINER,TIJUCA,"AV HEITOR BELTRAO, S/No","-22,92127","-43,22799",445.0,CIEP
