author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Redação Terra Você,Você sabia que existe câncer de mama masculino? Entenda,"O tumor é extremamente raro, mas pode ocorrer; saiba mais sobre os sintomas, causas e tratamento da doença","https://www.terra.com.br/vida-e-estilo/saude/voce-sabia-que-existe-cancer-de-mama-masculino-entenda,d715a431a099d4974ed25d58d5ed9e27zo4l9zg8.html",https://p2.trrsf.com/image/fget/cf/1200/630/middle/images.terra.com/2023/09/29/dor-peito-fotopornpakkhunatornistock-qxnus2qmrrz9.jpg,2023-09-29 15:07:34,"Embora mais comum em mulheres, o câncer de mama também acomete homens. É importante falar sobre eles porque o desconhecimento os afasta do diagnóstico precoce. A consequência direta é tratamentos mai… [+3843 chars]",desconhecido,Terra.com.br
Do R7,Estresse da vida moderna provoca problemas cardíacos cada vez mais cedo,"29 de setembro, é o dia mundial do coração. Momento oportuno para reforçar o alerta sobre os riscos das doenças cardíacas que, somente no Bras...",https://recordtv.r7.com/hoje-em-dia/videos/estresse-da-vida-moderna-provoca-problemas-cardiacos-cada-vez-mais-cedo-29092023,https://vtb.akamaized.net/image/1418760/2023/09/29/6516f1e51df97b35370002fa/94529cf7e7fa4436889264b8859e338b__2169900_EPP_2909_HD_ESTRESSE_VIDA_MODERNA_OK_thumb.jpg,2023-09-29 13:04:00,"29 de setembro, é o dia mundial do coração. Momento oportuno para reforçar o alerta sobre os riscos das doenças cardíacas que, somente no Brasil, matam 1100 pessoas por dia. No caso das mulheres, os … [+220 chars]",desconhecido,R7.com
Da Agência Brasil,Pesquisadores desenvolvem tratamento natural contra a psoríase,Doença é autoimune e não tem cura,https://noticias.r7.com/saude/pesquisadores-desenvolvem-tratamento-natural-contra-a-psoriase-29092023,https://img.r7.com/images/psoriase-26102018164656209?crop_position=c&dimensions=340x191,2023-09-29 12:44:00,"Psoríase atinge 3% da população mundial
 Flickr / Life With Psoriasis
 


 

Com o objetivo de combater o preconceito e melhorar a qualidade de vida das pessoas portadoras de psoríase, a SBD (Socieda… [+4008 chars]",desconhecido,R7.com
Redação,Primeiro sinal deste câncer silencioso pode aparecer nas costas,"O câncer de pâncreas é uma doença alarmante, infame pela sua agressividade e altas taxas de mortalidade. Uma das principais dificuldades no combate à",https://catracalivre.com.br/saude-bem-estar/primeiro-sinal-deste-cancer-silencioso-pode-aparecer-nas-costas/,"https://catracalivre.com.br/cdn-cgi/image/f=auto,q=60,w=1200,h=638,fit=cover,format=jpeg/wp-content/uploads/2023/09/istock-175212364.jpg",2023-09-28 01:00:33,"O câncer de pâncreas é uma doença alarmante, infame pela sua agressividade e altas taxas de mortalidade. Uma das principais dificuldades no combate à doença é o fato dela ser silenciosa, muitas vezes… [+2535 chars]",desconhecido,Catracalivre.com.br
Pedro Freitas,5 informações enganosas sobre o mal de Alzheimer,"O mal de Alzheimer é uma doença degenerativa muito séria que afeta as conexões das células cerebrais, eventualmente destruindo a memória humana e outras funções mentais importantes. Somente nos Estados Unidos, estudos mostram que 6 milhões de pessoas de todas…",https://www.megacurioso.com.br//saude-bem-estar/127462-5-informacoes-enganosas-sobre-o-mal-de-alzheimer.htm,https://mega.ibxk.com.br/2023/09/27/27141223187286.jpg?ims=600x,2023-09-27 19:00:00,"O mal de Alzheimer é uma doença degenerativa muito séria que afeta as conexões das células cerebrais, eventualmente destruindo a memória humana e outras funções mentais importantes. Somente nos Estad… [+3529 chars]",desconhecido,Megacurioso.com.br
Saúde em Dia,Cura do Alzheimer? Entenda descoberta de cientistas do Reino Unido,"Pesquisadores do Reino Unido bloquearam ação de gene associado ao Alzheimer, impedindo progressão da doença","https://www.terra.com.br/vida-e-estilo/saude/cura-do-alzheimer-entenda-descoberta-de-cientistas-do-reino-unido,a5ee40a9809b64f19d78749e2171f2b4po9hhrrj.html",https://p2.trrsf.com/image/fget/cf/1200/630/middle/images.terra.com/2023/10/02/152503275-cura-alzheimer.jpg,2023-10-02 11:01:16,"O Alzheimer é uma enfermidade neurodegenerativa que atinge 50 milhões de pessoas em todo o mundo, indicam dados da Alzheimer's Disease International (ADI). Atualmente, apesar dos tratamentos que prop… [+3047 chars]",desconhecido,Terra.com.br
Bethânia Nunes,IA: entenda como ela pode ser usada em benefício da saúde,"A inteligência artificial (IA) já está presente na medicina no atendimento, tratamento e apoio ao paciente. Veja alguns exemplos de seu uso",https://www.metropoles.com/saude/inteligencia-artificial-uso-saude,https://uploads.metropoles.com/wp-content/uploads/2023/07/13112836/Mulher-ressonancia-cerebro-inteligencia-artificial.jpg,2023-09-30 05:02:28,"A inteligência artificial (IA) vem provocando uma grande transformação na medicina, e é provável que ela esteja em um dos consultórios que você frequenta. Embora o termo ainda pareça abstrato para gr… [+4477 chars]",desconhecido,Metropoles.com
desconhecido,O que faz um hospital ser o melhor em oncologia,"Cuidado personalizado a partir de análise de dados, alta tecnologia e pesquisa são diferenciais de grandes centros",https://valor.globo.com/conteudo-de-marca/hospital-israelita-albert-einstein/noticia/2023/09/29/o-que-faz-um-hospital-ser-o-melhor-em-oncologia.ghtml,https://s2-valor.glbimg.com/RPFoLzRjiA_cCtfp4-aj75sZRfw=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2023/Z/W/0THNB6Q3axGQmQE4epNg/d872a126-2023-05-03-e6-0362-hd.jpg,2023-09-29 10:01:02,"Com o crescimento no número de novos casos, que deve chegar a 30 milhões ao ano em 2040 em todo o mundo segundo, a Organização Mundial da Saúde (OMS), o câncer é hoje um dos maiores desafios de saúde… [+14052 chars]",globo,Globo
desconhecido,Oncologia D’Or é referência em diagnóstico e tratamento de câncer,"Tecnologias exclusivas, pesquisa clínica e atuação integrada com os hospitais da Rede D’Or são diferenciais do cuidado personalizado, que tem protagonismo no Brasil e na América Latina",https://valor.globo.com/patrocinado/rede-dor/noticia/2023/09/25/oncologia-dor-e-referencia-em-diagnostico-e-tratamento-de-cancer.ghtml,https://s2-valor.glbimg.com/PYwkEuo8D2pLj2KOdj3zkWbhYyM=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2023/a/s/BQsVAxSbeaEhxdr15tog/glab-rededor-valor-setembro-2023-box4.jpg,2023-09-25 16:33:01,"Todo mês, mais de dez mil pessoas buscam atendimento na Oncologia DOr, a maior rede integrada do país para o tratamento do câncer. Essa escolha é motivada por dois fatores principais: equipes médicas… [+6095 chars]",globo,Globo
Estadão Conteúdo,Oncologia D'Or tem protagonismo no tratamento do câncer na América Latina,"Tecnologias exclusivas, pesquisa clínica e atuação integrada com os hospitais da Rede D'Or são diferenciais do cuidado personalizado","https://www.terra.com.br/vida-e-estilo/saude/oncologia-dor-tem-protagonismo-no-tratamento-do-cancer-na-america-latina,7013e9e6c3d01b2e2cb9d31200be6b75sevya8wj.html",https://p2.trrsf.com/image/fget/cf/1200/630/middle/images.terra.com/2023/09/23/1560915909-niq5xgeetndp3fmh5fdtmejohi.jpg,2023-09-23 03:11:18,"Todo mês, mais de 10 mil pessoas buscam atendimento na Oncologia D'Or, a maior rede integrada do País para o tratamento do câncer. Dois fatores principais motivam essa escolha: as equipes médicas lid… [+4174 chars]",desconhecido,Terra.com.br
desconhecido,desconhecido,Estratégia foca solicitação de exames específicos após triagem inicial; ação reduz em até 24% custos por amostra no serviço público,https://www1.folha.uol.com.br/equilibrioesaude/2023/09/parceria-de-hospital-que-atende-sus-e-laboratorio-acelera-diagnostico-de-cancer-de-sangue-infantil.shtml,https://f.i.uol.com.br/fotografia/2022/02/14/1644880759620ae37745d24_1644880759_3x2_rt.jpg,2023-09-22 17:39:22,Uma parceria entre um hospital público referência infantil e um laboratório de diagnósticos especializado conseguiu acelerar a detecção de câncer de sangue em crianças e reduzir os custos por amostra… [+4072 chars],desconhecido,Uol.com.br
Samara Schwingel,"Saúde do DF registra 1,4 mil novos casos de Covid-19 em uma semana","Taxa de transmissão da Covid-19 está em 1,23 no DF. Morte mais recente foi de um homem com mais de 60 anos em 3 de setembro",https://www.metropoles.com/distrito-federal/df-registra-14-mil-novos-casos-de-covid-em-um-semana,https://uploads.metropoles.com/wp-content/uploads/2023/08/11122553/Ilustracao-virus-covid-1-960x584.jpg,2023-09-19 21:44:10,"Em uma semana, o Distrito Federal registrou mais 1,4 mil casos novos de Covid-19. A informação consta no boletim epidemiológico divulgado pela Secretaria de Saúde (SES-DF) nesta terça-feira (19/9).
… [+2163 chars]",desconhecido,Metropoles.com
Redação,Genética acessível: Exame de DNA deve ser feito por todos?,Conheceu alguém que fez um teste genético por conta própria e deu vontade de fazer o mesmo? Geneticistas esclarecem a real recomendação do exame,https://claudia.abril.com.br/saude/genetica-acessivel-exame-de-dna-deve-ser-feito-por-todos,https://claudia.abril.com.br/wp-content/uploads/2023/09/testes-geneticos-abre-da-materia.jpg?quality=85&strip=info&w=680&h=453&crop=1,2023-09-14 15:05:17,"Basta raspar um cotonete por dentro da bochecha, coletar uma amostra de sangue ou cuspir saliva dentro de um potinho, enviar o material para o laboratório e pronto! Em dias você terá acesso às inform… [+12733 chars]",desconhecido,Abril.com.br
Redação,"Este hábito comum pode duplicar o risco de doença mental, segundo estudo","Todos sabem que o hábito de fumar pode causar uma série de problemas físicos graves, desde doenças cardíacas até diabetes e vários tipos de câncer.",https://catracalivre.com.br/saude-bem-estar/este-habito-comum-pode-duplicar-o-risco-de-doenca-mental-segundo-estudo/,"https://catracalivre.com.br/cdn-cgi/image/f=auto,q=60,w=1200,h=638,fit=cover,format=jpeg/wp-content/uploads/2023/09/istock-1387415201-scaled-e1694550879549.jpg",2023-09-13 04:00:01,"Todos sabem que o hábito de fumar pode causar uma série de problemas físicos graves, desde doenças cardíacas até diabetes e vários tipos de câncer. Contudo, o que poucos repercutem é a profunda ligaç… [+2651 chars]",desconhecido,Catracalivre.com.br
